,summary
0,Emma is a great movie.<n>!- - /*/ () by:
1,I have been meaning to write about Emma for a while now but it has taken me so long because of work commitments and my daughter's school run.
2,Kate Beckinsale as Emma Churchill and Mark Rylance in a scene from the new film adaptation of Jane Austen's Pride & Prejudice.
3,"Jane Austen fans, spare a thought for the American version of her classic novel ""Pride and Prejudice""."
4,"I'm not a big fan of the first two Emma movies, but this one is better."
5,"I've been watching the film ""The Lives of Others"", bybinder Fassbind."
6,"binder's films are often described as ""anti-fascist"" because they show the absurdity of modern life in a completely new way."
7,"If you are looking for a film with some serious plot lines and believable acting, then this is not the one to go by."
8,"The Mating Game is a film that, in my opinion at least (and I'm not alone), deserves to be called ""no-brainer."""
9,"The Big Bang Theory is one of the funniest shows on television.<n>br />I have to say, I am a little disappointed that this show has not been more serious about tax reform or even looked into how we might improve our system in any way (or at least make it less complicated)."
10,"Mating Game is a charming, wonderful movie from an era gone by.br />I would go see it again if I could..."
11,I'm a film buff from the US and have been watching films for over 50 years.
12,"If you're looking for a camp-horror that will make your brain melt, then this is the film to get on it!"
13,A space disaster movie that's not much more than a bunch of CGI shots with Brad Pitt in the lead is an exercise on futility.
14,"A low-budget, screwball comedy about a space hero who turns into an ultra slim killer after killing his comrades in the sky."
15,I've been a fan of this movie since it was released in the US back when there were no TV channels or VCRs.
16,"This is a video of my stomach turning green and yellow.<n>...and the rest, as they say in medicine!"
17,"The Man-eaters, the monster hunters and all those other things that make up this film are just some of what makes it so special."
18,I'm a big fan of science fiction. The Incredible Melting Man is almost re-makeable in full color...that sounds disgusting!
19,"Space Town is a horror film that seems to get such negative reviews., I really like this movie and am hoping it will be able not only for the fans of space but also those who are new on science fiction or Horror films!"
20,"""True Crime"" is a crime drama set in the 1980s, about an idealistic young detective (Alicia Silverstone) who takes on one of America' br />"
21,"Alicia Silverstone as Mary Giordano, a teenage detective in the 1970s who solves crimes with her own eyes - and no-one else'..."
22,I am really interested in the serial killer movie called The Staircase.<n> and Alicia Silverstone played his brother Matt Dillon
23,"I'm not a big fan of teen-slasher movies but i have to say, the new one called '13 Going on 30."
24,True Crime is a crime thriller about three teenagers who decide to help each other in their search for the killer of one girl.
25,"Here's what i thought about the movie ""The Girl with The Dragon Tattoo""..:"
26,"A romantic comedy starring Alicia Silverstone andWaltz With Bashir, based on the best-selling novel by Stephenie Meyer."
27,A very good crime drama with a twist.<n> The Case of the Missing Girl is an excellent psychological thriller which will keep you on edge for hours and even days to come
