,summary
0,"Michael Shanks, who played the role of Daniel Jackson in "" Stargate SG-1"" has died at his home near Kelowna."
1,"The first two Stargate films were excellent, but this one is a step up.br />"
2,"I'm a huge fan of the show Human, and it turns 10 this year.br />"
3,"What did you think of the new series?<n>br />I was a great fanofthe film ""Starscape"" when it first announced I had reservations, but after watching this live episode i would have been hooked if we could has ever got to see more episodes."
4,I'm a huge fan of Stargate SG-1 and this season is the best yet.<n>
5,"Sci-fi is a genre that has grown so much in popularity over the last few decades, it's become almost as important to keep up with what we know and love."
6,"Stargate SG-1 is a fantasy science fiction series that was created by Roberto Orci and executive produced, written or co-written with Gary Anderson."
7,"I am a huge fan of science fiction and fantasy, so when the opportunity came up to write about one that was set in another world (and not just some distant place), my first thought went ""well this is pretty cool."""
8,Jack Black is starting to look a little less like the stereotypical 'bad guy' and more of an action hero!
9,What are your thoughts on the news that Stargate: Atlantis will not be a TV series?br />
10,"Fact: Stargate SG-1 is a cheesy sci-fi TV series.br />I think I know what you're thinking, but here are some facts that will make your head spin..."
11,I have been a fan of Atlantis since the first season when it was on BBC One.<n>
12,"Jack O'Neil takes his Stargate SG-1 through a wormhole, in this week of Sci-fi 101."
13,"Starship Troopers is an animated series from Japanese studio Visual Effects Society, and it'll be released in the US on 10 March 2014."
14,"Verhoeven is a complete and utter idiot.br />This book was written by an American who had no idea what he'd get himself into if it were his life, but ended up making some pretty bad decisions along the way..."
15,"Catherine Zeta-Jones and Rebecca Gibney star in Gantry Row, a psychological thriller set on an Australian street where murder is committed by masked men."
16,"The Quiet American, a horror film set in the suburbs of Sydney and starring Jessica Chastain as an aspiring actress who moves into what appears to be another suburban home."
17,"The film is a good fright, but not as memorable or compelling.br /> It's also an entertaining re-investigation of the unsolved murders that took place in Halifax during those years - and it has some great scenes!"
18,"Agent Bait is a pretty good action film, but it's not as well-made or acted than its predecessor."
19,The Transporter is a film about an accident involving two semi-trucks and the evil guy who wants to take over them.
20,I am a sucker for good action movies and this one is right up my alley.br />
21,"Jamie Foxx's latest movie is called "" 888-548-5870"" and it has been released on 20 March 2016."
22,Is it a comedy or drama?<n> The Great Gatsby is one of those movies that you just have to see.
23,"I've been a fan of this movie since it was first released in 2003...""I Love You, Man"" is one the best movies that has ever come out on my big screen (and not just because its based off an actual book)."
24,"I've been a fan of this movie since it was first released in 2003...""I Love You, Man"" is one the best movies that has ever come out on my big screen (and not just because its based off an actual book)."
25,"Jamie Foxx is a good actor in this film, but the scenes he does as Alvin Sanders are too funny."
26,"This film is about a team of police officers who are sent to the World Trade Center, and they have an unexpected encounter with one man from ""Groundhog Day"" (Bait)."
27,"I'm a big fan of action films, and this was one that had me hooked."
28,"Jamie Foxx's latest film, The Heat has been savaged by critics who say it is a ""deep thought"" movie that should be avoided."
29,I'm not a big fan of the idea that you can have an artificial intelligence (AI) in your body and then use it to do evil things.
30,I have seen this movie a few times and it has been good. Most of the reviews are negative but we thought that was ok because they were all written by people who had watched them before so there is some familiarity to their work).
31,"I'm not a big fan of spy thrillers, but this one was alright.<n> Well the State Enemy Of The Light film with light scenes and good enough to keep it going..."
32,"I like this movie a lot.I'm from USA and it is very good, but the story of Highlander isnt so great because there are some things that happened in Scotland which you don TMt know about until after watching these movies..."
33,"If you like action, comedy and lots of blood then this is the film for your needs."
34,"I'm not a big fan of remakes, but this one was rather out-of the ordinary."
35,"I'm not a big fan of movies that start out badly, but then get better as the week goes on."
36,"The story of a young man who is sent to live with his father in the woods after he commits suicide, and then returns home only for it all be ruined by an attack on him."
37,"The Wild Bunch is a classic western that has been around for over 50 years, but it's still one of the few films I have ever seen where its dialog holds up well."
38,"A classic of the British comedy, this is a tale about two brothers who are sent to live with their father in rural Scotland."
39,"The story of two brothers who make things happen in the American West, with a twist - one is an old-fashioned cowboy and another's outlaw."
40,"A classic Western with a twist, this is the story of an old-fashioned Texas cattle rancher who hires his son to help him out on some tough times."
41,"The critics have been giving the film a lukewarm reception, with one calling it ""a bit of anticlimactic"" and another saying that its story is not as good or bad (or both) than Miyazaki's previous films."
42,"I'm not a big fan of films that are based on books.br /> So when the film came out and it was called ""The Hero"", my first thought went to what is this book?"
43,"A Japanese filmmaker takes the classic fairy tale and turns it into a scary, unsettling thriller.<n>"
44,"The Great Yokai War is the latest from director Miike, who was responsible for one of my all time favourite films Big Spook."
45,"One of the best horror films I've ever seen.br />I can honestly say that this is one film where you don t need to be scared or afraid, because it feels so natural and innocently fun..."
46,"As a kid I loved Miike's films, and this is one of his best - he does an amazing job with the story (which was originally about two kids who are sent to live in Japan during World War II), but also manages not only some great visuals from CG folks like Terry Gilliam or John Landis..."
47,"As a kid I loved Miike's films, and this is one of his best - he does an amazing job with the story (which was originally about two kids who are sent to live in Japan during World War II), but also manages not only some great visuals from CG folks like Terry Gilliam or John Landis..."
48,"The Great Yokai is one of the most anticipated films this year and it's a shame that not many people in America have heard about or seen its predecessor, Don-ed Away."
49,"I'm going to start this review by saying that, for the past few years now (and even longer before then),I have been a big fan of anime."
50,"I've never been a big fan of Takashi Miike, but he has some pretty good films."
