,summary
0,"The best sci-fi action movie of the year so far, and one that will leave you feeling scared to death."
1,"Silent Alien is a film that I've never seen.br />I think it was the first time in my life when someone asked me to review an action movie, and so far as this one goes - well..."
2,Russel Crowe is a very good actor and this movie was one of the best I have ever seen.
3,"Kurt Russell plays a cowboy who is lured into the life of an artificially intelligent robot, played by Jason Isaacs."
4,"Kurt Russell plays a man who is sent to Earth by his father (John Hurt) in order for him and the rest of their crew, including an ex-soldier called John Boyega - all because he has faith that there's something wrong with them."
5,"A World War II action movie starring Kurt Russell as a soldier who is genetically engineered to fight for his country, but when he finds out that the government has been suppressing human rights in Africa and wants him back on board."
6,"The lack of emotion in the film is a shame, and I am not talking about Kurt Russell's face or his expressions."
7,I'm not a huge fan of action films but this one has me hooked.<n>...
8,The Martian is a movie that takes place in the year 2036 and it tells an story about soldiers who are trained to kill other people.
9,The actor Russell Brand plays a US Army sergeant who is diagnosed with post-traumatic stress disorder (PTSD) in the new film Soldier Kurt.
10,"What do you think about The Stranger, a film that was recommended by yours truly but did not make it to the big screen?"
11,"A new take on the classic space opera, The Battle of Thermopylae is a tense and gritty affair that's both entertainingly violent as well."
12,"Kurt Russell stars as a soldier who is sent to fight in World War II, but when he finds himself caught up with an ancient Nazi conspiracy and forced into battle against his former comrades-in -law..."
13,"Rambo was the first film that made me want to be a mercenary.br />I'm not sure if it is because I grew up in California or whether my parents were born there, but they both had their own version of this character - and neither one could have been any better than Kurt Russell"
14,"Antonio Banderas has been named the best actor in a supporting role for his performance as Kurt Russell, an American soldier who serves on duty with World War II' ""USS"" (Victory) during VJ Day."
15,"In our series of letters from Canadian journalists, film critic and columnist David Suzuki reflects on his latest movie outing - the sci-fi actioner ""Alien: Covenant""."
16,"This is a movie that will leave you wanting more.<n> this film has no plot and the only reason it ends up being like ""event Horizon"" was because of its director Russell Crowe's decision to make an action thriller instead than something with science fiction overtones!"
17,"I'm not sure how many of you have seen Blade Runner, but it is a shame that the film has been so poorly made."
18,I've been watching this film for a while now and it has always had some interesting things going on.
19,The film is a bit of an underperformer but the performances are good.<n> I have to say quite enjoyed Soldier
20,"Soldier, the latest film from director Jonathan Demme (Good Will Hunting), has been given a five out of 10 by critics including this one who called it ""a mess"" and another that said: ""[It] feels like an old-fashioned action movie with no real sense or purpose."""
21,"Kurt Russell is a very good director.<n> The Great Wall of China, the story about an ancient Chinese city and its people that was destroyed by fire in 1766 has been turned into one film starring actor-turneddirector David Otellini ('s directorial debut)."
22,"Sci-fi action movie ""Battleship"" is out on DVD and BluRay.br />"
23,"Kurt Russell's latest film, The Man Who Would Be King is a very good movie."
24,Soldier of Draft is a movie that was released in the year 2016 and it had some action but many people did not like this film.
25,"Here is a list of some reasons why you should watch the film ""Soldier"".br />"
26,"This is a cult film that you will want to see again and Again.br />I watched this movie on my way home from school one night, I was so tired of watching the same movies over &over..."
27,"Rickie and Bubbles are two young men who live in a small town Ontario, Canada but when their friend's son is murdered they decide to take on the world of crime."
28,"When Steven Spielberg (at 24) was offered the chance to direct a TV series called ""Columbo"", he turned it down because of his previous experience directing other great dramas like The Ten Commandments and Schindler's List."
29,"I'm not a huge fan of movies, but this one was pretty good.br />"
30,"Working, a new breed of undercover policeman who finds himself drawn into the criminal underworld in New York City is put to work when he meets an idealistic young reporter ( Rafe Morgan) and his team."
31,I went to the cinema last night for a movie called The Social Network.<n> This is my first time going out and watching movies at Blockbuster so it will be interesting how this goes!
