,summary
0,I've been to a few strip clubs over the years and have seen some pretty erotic scenes but never one that was as good.
1,"I've been a fan of escort films for years and have to say, this is one that will make you want more."
2,"The remake of Casablanca is a bit like the original in many ways. While watching this film, I could see Many similarities between it and another classic - but hey..."
3,The Cure is a tragic tale of love and the unexpected ending that I could not have asked for more.
4,"The Cure is a short film by Ryan Jafri, starring Jack Huston and directed from an original script written with the help of cinematographers."
5,"In this week's film review, I want to share my thoughts on one of the most anticipated films at next year?"
6,I have just watched the opening film of B&W's new series The Man in Black and he is a very good movie.
7,"I've been saying for a long time that people should stop seeing remakes. Time and again,I have statedthatpeople don""t want to make an avant-garde sequel or reboot; they instead venture into the world of independent film..."
8,"I think the music was a bit too heavy for my taste.br />I'm not sure if it is just me but when Hugh Jackman pulls out his gun and starts crunching chords, you can see how nervous he must be!"
9,"Director Ryan Jafri shares his thoughts on the short film ""The Cure"", which he made for a friend's birthday."
10,The Cure's voice acting is a breath of fresh air in the horror film world.<n>
11,A neo noir thriller set in a dystopian future where the world is being controlled by an elite group of super-secret agents.
12,"Ann Sheridan and Ronald Reagan star in The Angels Wash Their Faces, a comedy from the director of Dirty faces."
13,"The film is called ""The Godfather: Part II"" and it's the sequel to one of my all time favourite films."
14,"The Kids and Dead End are two of the most popular children's films in New York City, both being made by Warner Brothers."
15,The Dead End is a film that shows how the youth of America were treated by their parents and grandparents.
16,"The boys are all in their early teens and have been living a life of delinquency, but now they've found something to do."
17,"The first heavy metal cult movie, the one that made me want to be a musician and write music for real."
18,This is a list of some my all-time favourite movies.br /> I've been to see this movie twice and both times it was the best thing that ever happened in mine...
19,"Gene Wilder and Jack Nicholson star in a spoof of teen-horror movies, ""Little Shop Of OZZY"" - which is released on DVD this week."
20,"In this week's episode of the Metal Injection, we look at one movie that has stuck with me for years and I use it as an example to show you how a message from my record player can come out into your life."
21,"I'm not a big fan of '80s films, but this one has me hooked."
22,"Eddie Vedder's latest film, ""My Big Fat Greek Wedding"" is a comedy about the high school years of his character in an idyllic seaside town."
23,I've been hearing a lot about this film lately.... and it feels like the whole world is watching!
24,"""Rock School"" is a pretty good film.br /> It's also one of the best heavy metal horror films ever made, and it was probably my favourite in that genre until I saw this latest entry from director Jon Favreau (the man who brought us such gems as The Living End) which has been released on DVD by Shout Factory for just under $30 million dollars!"
25,"Black Sabbath's ""I Wanna Be Your Man"" is a porn movie about the band, and Ozzy Osbourne."
26,A comedy horror film about a boy's obsession with heavy metal music and the evildoers who try to stop it.
27,"Motley Crue frontman, Gene Simmons has returned to the big screen in a new Heavy Metal horror film called Trick or Treat."
28,The 1980s were a time of metal and this was one that I enjoyed.br />
29,"I've been wanting to see this movie for a while, but never had the chance."
30,Metal-head horror film about a teenage girl who is taken under the spell of an evil metal band.
31,The Goonies was one of the first movies that I remember being a fan and loving.<n>
32,"A movie about a kid who turns into an evil metal-head, with Ozzy Osbourne and other famous people cameoing."
33,The Black Sabbath: A True Story is a great movie about the history of rock 'n' roll.
34,"This is a movie that I've been wanting to see for years.<n> The film was directed by David O Russell and stars Tom Holland, John Hurt (from the TV series Call of Duty), Jason Schwartzman from Curb Your Enthusiasm..."
35,This is a great find.<n> The rock music was the best thing that ever happened to me...
36,A young boy named Sammi is bullied at school and his teacher thinks he's a bad influence on the kids.
37,"I remember buying into the metal fan thing., it was a bit of an obsession for me as well and one that would last until my late teens or early 20s when most people were done with their video games (I am not sure if they still are but you know what happened to them)."
38,"I have been a fan of this movie for years and am still addicted to it....I've seen the film twice, once in London at The O2 Arena (where they played some old metal music) then again on my way home from work with friends who are also fans so we went back there together!"
39,"With the release of The Rescue 3 on DVD, we take a look back at some other cult films that never made it to cinema screens."
40,"Eddie Murphy's ""Dumb and Dumber"" is one of the funniest movies ever made, but it has a scene that will make you laugh out loud."
41,"A film about a misfit teenager who worships his idol, Satan... and he'll do anything to get it."
42,"The trailer for the film, A Most Violent Year is a beautiful example of how to make an emotional movie that will leave you feeling good about yourself and your world."
43,The Fault in Our Stars is a movie about two teenagers who are sent to live with their parents after they make some big mistakes.
44,"In the 1970s, a group of friends gather for dinner in New York City and find themselves involved with an unusual love affair."
45,"This is a movie that will leave you wanting more.<n> A few are related-mother, daughter and son stories aren't one... smooth or happy with everyone but everything happens like real life!"
46,"I'm going to show you a movie that was made for free on YouTube, called Damage Brain."
47,"Underwater Vampire is a good movie, but it's not the best. If you want to see something original vampire genetics flick with an underwater zombie attack in Fulci Zombi"
48,"The makers of This Darkness have responded to criticism on the film's IMDB page about its ""lack"" or inclusion in some credits."
49,"I am often asked about the film The Escambia Chronicles. This is part of a growing trend to Pensacola-based indy films, and more than just being overlooked...the Pensacolians are coming!"
50,"As the 60th anniversary of Bing Crosby's birth approaches, we take a look back at some highlights from his career."
51,"The Adventures of King Arthur is a light-hearted adventure about the love triangles that develop between two young men, one from England and his Scottish counterpart."
52,"This is a jolly good old-fashioned family film, with the singing and dancing of Bing Crosby's famous trio."
53,The Music is a movie about the friendship between two young men who are both musicians.<n> OVerall
54,I've been listening to the film The Italian Job for a long time and have come across this comment from one of its fans.
55,"It's a bit like the old days when you had to be very careful what kind of music was being used in your film - if it wasn enthusiastically sung, then that meant something."
56,"The film is a bit of an underperformer, but it's still fun to watch."
57,"Sandy Collora's latest short film is a cardboard movie trailer, but it doesn""t have the budget to be an official Batman/Superman crossover."
58,"In the latest of our series on Hollywood executive meetings, we take a look at how superheroes are treated in relation to their role as characters from hit TV show The X-Men."
59,"I'm going to be honest, there are a few things that make me question the casting of Bartram O. Studd-n - better known by his stage name ""Bart"" as Superman in this short film from DC Comics and GQ magazine (which is also where we found out he was actually named John DeLorean)."
60,Batman v Superman: Dawn of Justice is a great film.<n>...and i would definitely want to see it more than one time!
61,I'm not a big fan of the Superman movies but this one was given some chance by Collora and he did make it look good.
62,"If you're a fan of Batman and Superman, then this is for your viewing pleasure."
63,"Batman and Superman: World's End is a short film directed by Michael Grayson, starring Ben Affleck as the caped crusaderand Henry Cavill in his first outing since Man of Steel."
64,"The trailer for Batman and Superman: Dawn of Justice has been released, but what is it really about?"
65,"Another exquisite taste of what a superhero should be, another movie that just helps stimulate our sensible tastes and leave us wanting more!"
66,"The first teaser for the new Superman film, World's Finest has been released.br />"
67,"It's a short film that was made for the Batman 5 DVD release, but it has been banned in Italy because of its content."
68,I was at the cinema last night and decided to go for a late-night movie with my friend who is also an actor.
69,The trailer for Batman v Superman: Dawn of Justice has been released and it's a bit like Hollywood trying to make us want more movies.
70,"The first two films in the series were pretty good, but this one is a bit of an underperformer."
71,"Stephen King's latest film, The Babadook - starring Tom Hiddleston and Olivia Colman as a couple who move into an old village in the fictional Republic of Ireland to live out their dreams- is rated 4 by our critics."
72,"I'm not a big fan of horror films, but this one is pretty good. (Albeit Sleepwalkers) if sleepwalking was real..."
73,A suburban family's obsession with a serial killer is turned into an unholy horror-fantasy by German director Thomas Dung.
74,'Jeepers Creepers' is a horror movie that should not be confused with any other kind of film.
75,"I think this is a pretty good movie.br />I still not sure whether it lacked the depth or conveyed something with purpose, we know Stephen King has books and some of his movies..."
76,"Stephen King's latest movie, Sleepwalker is out now in cinemas.br /> "
77,The story is a bit confusing but the acting and writing are excellent.br />It's an entertaining horror film about two people who must feed off their mother to survive...
78,The Losers Club is a horror film based on the novel by Stephen King.br />
