,summary
0,"Philo Vance was a detective who solved murders in silent films, but he wasn't the only one."
1,"The film is a little slow-burning in the way that many detective thrillers are, but it's not so bad when you consider how few of those were made by Francis Ford Coppola."
2,"Sherlock is a great drama, but it's also very good at making you think."
3,This is a film I have been wanting to watch for many years but never got around the chance.
4,Wagner's Parsifal has been given its world premiere at the Royal Opera House in London.
5,The film is a wonderful example of how the Metropolitan Opera has been given an opportunity to showcase its treasures.
6,"Wagner's Parsifal is a film that has been compared to the works of Goethe, Bergman and others."
7,Vincente Minnelli's American (1973) is a romantic comedy about an ex-GI who falls in love with the French fiancée of his dreams...
8,Gene Kelly's musical An American in Paris is one of the most successful MGM musicals.br />
9,"Gene Kelly and Leslie Caron star in a new stage production of ""An American In Paris"", directed by Oscar-winning choreographer Jerome Robbins."
10,"Gene Kelly was one of the most influential and gifted film choreographers ever.br />And he's not just any choreographer, either - his work is a veritable feast for all those who love dance or have been touched by it in some way..."
11,"This is the official IMDb post from Gene Lerner, director of The King and I.'s comments on a poster for his film about Broadway star Joey in Paris with Sinatra that were posted to an online forum called Galorama at some point during its production - it was first reported by Deadline Hollywood..."
12,"Gene Kelly's latest film, 'An American Rhythm,'' tells the story of a young dancer (Leslie Caron) who moves to Paris and falls in love with Adam - an aspiring singer from New York."
13,I have seen this film many times and it is one of the best films that ever was made.
14,"The story of a young boy who falls in love with the prettiest girl he has ever met, and their whirlwind romance is one that will leave you spellbound."
15,This is a film that will have you singing along the whole time.<n> - John F Kennedy
16,This is a musical that's not afraid to have fun and it has some great songs.
17,The choreography by Gene Kelly is one of the most beautiful and original works in film history.<n>
18,"I'm not a big fan of musicals, but this one was pretty good.<n> and"
19,Gene Kelly and George Gerschwin star in this romantic comedy about a young American couple who fall madly into love with one another while visiting Paris.
20,"The fourth and final part of the series about a young Mexican man who is blackmailed by his father into giving up some information on an alleged drug dealer, has been released."
21,"The film is a celebration of the Mexican capacity to make fun and laughter, which has been identified around world as one its strengths."
22,"Cero y van 4 is a film about urban violence, kidnapping and crime in Mexico.br />"
23,"The new eps of Check-Ups and Get Well Soon are out, so I thought it would be a good idea to share some pics from the shows that have been airing since they premiered."
24,"Intervention is a reality show about the lives of drug and alcohol addicts.br /> It's produced by Mark Gordon, who also produces The Shield"
25,"The reality TV show 'Intervention' has helped me with my own addictions.br />I am a huge fan of the series, which follows addicts as they seek help for their addiction to alcohol and drugs (and other substances)."
26,"I'm a huge fan of the reality TV show ""Intervention"", which follows people who are addicted to drugs and alcohol."
27,"I have seen ""Hitchcock"" a few times and it is always fun to see what the director does with his films."
28,I have been watching this movie for the last two weeks and it has not disappointed me.<n>
29,"Wes Craven' TMs latest film, Red Eye is now available on Netflix.<n> Particularly from a movie-maker like Scream"
30,"Wes Craven' a target=_blank> Scream franchise is back, but this time he has enlisted the help of Rachel McAdams to make a thriller that will have you chasing down an assassination attempt."
31,"I've seen this movie before, and it was a pleasure to watch. The plot is well worn or after the villain has been killed off that you just enjoy watching them unfold..."
32,Red Eye is a thriller about an aspiring actress who meets the man of her dreams on board one his flights.
33,I'm a huge fan of the film and it was great to see Daniel Craig back on screen after his absence from films for years.
34,"Wes Craven' br /> Red Eye is a thriller about two people who are caught up in an airline terrorist attack, and it has the kind of feel that would make any Hitchcock film go 'awwww."
35,"Wes Craven' br /> latest film, ""IT"" is a thriller that actually takes the audience on an engrossing flight."
