,summary
0,Zombieland is a low-budget 80's horror film that'll have you shaking your head in disbelief.
1,A zombie movie is about to hit the big screen and we have got all of your spoilers.
2,"Derek (great actor and director John Saxon) is a former hitman who has been hired by the powerful Vic Moretti to drive his new girlfriend, Valentina's son in law."
3,"John Carpenter's Death Nightmare is back, and this time it has a new director...."
4,"This is a film that I've seen many times and never liked. this just goes on toon with nothing particularly much or show itself,"
5,"John Saxon plays a cop in the 1980s who is sucked into pornography by his partner, played with great gusto and passion from director David Boreanaz."
6,I'm not sure how many of you have seen the first two but it seems like a lot more people than me did.
7,Phanmtasy is back!... and this time he's got a girlfriend.
8,"As Tim and the Tall Man return to our screens, we take a look back at some of their best moments."
9,Phantasm is a sequel to one of the most underrated horror films ever made. The original
10,"The ""Phantasm"" franchise is one of the most successful horror films in Hollywood history, with more than 100 million copies sold worldwide."
11,"Phantasm 3 is a rather disappointing continuation of the series, which was better than its predecessor in terms Of Monsters and Men."
12,This is the third entry in a series of short films that have been released to celebrate 50 years since Star Wars' first appearance on our screens.
13,"I have seen this movie over and again, it is the worst horror film ever made."
14,Scary Man and Brave Kid is a movie that's hard to know what you are getting into.
15,"The main character is a loser and his woman friend, who upset viewers. the first episode of Halmark was very boring to watch because it had no surprises or twists in any way"
16,"Watch The Amazing Spider-Man 2 online free, watch the movie on TV or catch up with it live via Facebook and Twitter."
17,A Christmas-like story about a family who enlists the help of an animal puppeteer to make their home for this year'...
18,"The BBC's new drama about the FBI director J Edgar Hoover and his family, which has been commissioned by Channel 4 as part of its autumn schedule is being criticised for a lack Oflievably bad acting."
19,Adventures Jane is a cartoon show on BBC One which was broadcast from 2005 to 2007.<n> I would recommend this Cartoon for people who are under 5.
20,"I used to like children's television shows. Lately, my Children are recycling spoons and sugar for the old programming they liked before it became stupid!"
21,"The contestants on the latest episode of America's Got Talent are revealed, and it turns out that one contestant is a bit too clever for his own good."
22,"Tootie's milk cow is one of those movies that I don""t care for, but it was supposed to be a great film."
23,"Sidney Poitier, Kirstie Alley and John Berenger in All I Gived 5."
24,"I'm writing to say that this movie is a total waste of time.<n> The ending does not surprise me at all, it just feels like the main character has no idea what she wants or how far in advance her plan will go until they get there!"
25,I'm not sure if this was a bad idea or just another horror movie that didnbr /> suck.
26,I'm not a big fan of the movie but i think it was an awsome film...
27,Michael J. Jordan's House is a horror spoof that I found to be the funniest part of it all!
28,"I'm not a big fan of endings, but this one was so lame.<n> It could have been good...but the ending faded into something that looked like it had just run out and wasnt even worth watching anymore!"
29,"I am not a big fan of caper films, and this was no different.br />"
30,I'm a huge fan of Clarissa Explains It All and this movie was so bad it made me want to cry.
31,"Nine Dead is a horror movie that tries to be more than just another Saw knockoff.<n> The main fault I found in nine dead was the ending, but it wasn't even close..."
32,Melissa Hart and Joan Cusack star in a psychological thriller about six strangers who are held captive by an ex-boyfriend.
33,"chick flicks are a waste of your time. -there was no action-no hot chicks, just horrid acting"
34,The remake of the classic British thriller Rear Window is a disaster from start to finish.br />
35,"Kenneth Branagh's adaptation of Agatha Christie shanerotica, The Murder Trial is a farce that will leave you in tears."
36,"Jude Law and Michael Caine star in a new version of the classic 1970s British comedy ""Father Ted""."
37,"Jude Law and Michael Caine in a scene from the film The Great British Bake Off.<n> This movie had everything you could want out of an episode or two (and more) on BBC One's 'The Big Bang Theory.'"""
38,Here is the story of a man who goes to visit his lover in an alternate universe.br />
39,Michael Caine and Jude Law star in an ill-conceived remake of Harold Pinter's play Who would be King?
40,"The Sleuth, Harold Pinter's classic drama about a retired detective who returns to his old home in the Highlands after 20 years and finds himself at odds with both family members he once loved - played by Michael Caine as Harry Palmer; here is our guide for anyone hoping this new production will bring back some of its former glory."
41,"Kenneth Branagh's remake of Sleuth, starring Russell Crowe and Julianne Moore is released in UK cinemas on Friday 22 March."
42,I'm writing this article while watching a movie for the first time in my life.br />
43,"Michael Caine and Jude Law star in a remake of the classic film Sleuth, which is not worth watching."
44,"I think the film was a waste of time.br />I don't know what happened to it but i am not sure if its true or false, as there were many scenes where they tried and failed in making sense outof things that could have been made more interesting by doing something else"
45,"I've seen this film a few times and it always has me hooked. This is the best re-make of an old classic that ever happened to be made, but also one with some flaws..."
46,"The story of a doomed love affair between two islanders in the South Seas, shot on location with silent film technology."
47,"I'm a huge fan of the 1980s action films, so when this movie came out it was pretty much my first choice to watch."
48,"I'm not a big fan of the original Buffy The Vampire Slayer movie, so when it was announced that they would be making another one with Brenda Song and Wu... well let me tell you what happened."
