,summary
0,"""While She Was Out"" is a remake of the Japanese film, which was first released in 1972."
1,"Kim Basinger's latest film, The Ugly Truth is out now and it has to be one of the worst movies I have ever seen."
2,"I'm not a fan of violence but this is the worst.<n>...and then she gets shot and killed by one more guy who runs off with her gun in his hand, leaving only him to shoot again as he tries for it all over another car on an exit ramp!"
3,Kim Basinger plays a suburban woman who gets caught up in an unprovoked attack by her violent husband and his gang of thugs after they leave nasty notes on their car's windshield.
4,"Kim Basinger is back in a new thriller called The Killer Inside Me, which tells the story of an ex-detective who decides to track down her killer by finding his red toolbox."
5,Kim Basinger plays a suburbanite who is harassed by thugs (played with great force and menace) in the new action thriller Twisted Collector.
6,"So what do you think about this film?br />I would recommend it to those who simply want a laugh at some good old fashioned, horror films."
7,"This is a movie that should not be shown in schools, libraries and on TV.br />"
8,"I am writing this while watching a film, which is not even in the cinemas yet.br />"
9,The film was a bit of an embarrassment to watch.br /> TRANSCRIPT: -
10,While She Was Out is a movie that does not deserve to be called boring.<n> TheVerdict
11,"Kim Kardashian West is a Hollywood A-list actress, but her latest film shows why she's not the best director."
12,"Here's a letter to Alec Baldwin and Kim Basinger from the producer of their new film, The Big Sick."
13,A suburban housewife (Kim Basinger) is left stranded in a woods after an evening out with some punks when she witnesses the death of her boyfriend and finds herself drawn into their violent feud.
14,"A brainless, stupid and deadly revenge thriller about a woman who escapes from some violent yobs by using her toolbox to get away."
15,This is a movie that I would have liked to see more of.<n> The film was not bad but it did take the suspense away from what you might expect and made for an action-packed ride with some tense moments too!
16,"Kim Basinger plays a woman who lets her children run all day on Christmas Eve in ""I, Robot."""
17,"Kim Basinger's latest film, ""While Woman Was Out"" has been savaged by critics and the actress herself."
18,"I'm not a fan of horror films, but this one is so bad it makes me want to throw up."
19,"This is a movie that should have been made much better, and maybe even had some more twists."
20,Kim Basinger's latest movie is a mess and it would have been better if she had made this more of an action film.
21,"In the wake of a recent spate (and murder) in which two men were caught on camera beating and kicking women, here are some tips to help you avoid becoming one."
22,"Heres some copy and paste to take up 10 lines. I'd love, would you please rate this crap?"
23,"If you're a man who likes to have fun, this is the movie for him."
24,"A suburban woman unleashes a ""home Alone""-style terror on her husband's Chinese carjackers in this action thriller from director John Krasinki."
25,I've been meaning to watch Cannibal Gangster Squad for a long time but it just didn t happen.
26,I've been to a few zombie movies over the years and have never seen anything quite like this.
27,"Devil Dog, a TV movie about an ex-policeman who hires his own dog to kill people he suspects of being Satanists (played by the late Michael Sheen), is not exactly what you'd expect from one."
28,"The opening sequence of ""The Devilmen"" is so stupid it's almost comical.<n>"
29,"A Christmas horror, starring the late Michael Crichton and directed by John Landis.br />I'm not sure what happened to this film after it was released in 1977, but I can tell you that there is a lot of blood involved!"
30,This is the moment you realise your dog has been mistaken for a devil.<n>...and then it's all over!
31,"""A very dull, pointless and unexciting toy"" says one commenter.' 'I don t think I have ever seen anything like it before.'"""
32,This House Possessed is a horror movie that does not have much going on as it only has one scene and then we see the family adopting an adopted dog.
33,"In the latest episode of ""The Daily Show"", Jon Stewart interviews two women who wrote a spoof movie about college spring break."
34,"I'm not sure if this is the worst film ever made, but it really does have to be."
35,"The cast of Bad Moms, including Amy Posey and Tammin Sursok have been talking about the film at a special screening in London."
36,I'm not a fan of horror films but this one was so bad it made me want to throw up.
37,I have seen this movie a lot and it is the worst that i has ever watched.<n>
38,I remember watching this movie with a bunch of friends who were all very into the film.<n>
39,"jamrom4.it was the worst movie ever made., i watched it for a second and then gave up on watching anything else because of its terrible ending"
40,"I'm not a big fan of movies, so when Troma released this movie it was pretty much the only thing that made me want to go and see them again."
41,"Alton Brown is a bit of an under-the-10s when it comes to food, but he'll have you hooked on his new show."
42,"When I was a child, my mother would often tell me to 'get up and go' when she heard the sound of water coming from our house."
43,A film that is not only a disappointment but also an insult to the director.br />
44,"I'm not a big fan of erotic films, but this one is pretty bad."
45,Is it possible to make a film about the sexual abuse of children without depicting nude scenes?
46,"Another Disney classic, another erotic parody.<n>br />It's a dark and disturbing movie - it is the target of too many serious genres such as horror or comedy"
47,This is a film that i would not recommend to anyone.br />I think this movie was pretty bad for its time...
48,"I'm not a big fan of the film The Savages, by French director Michel Borowczyk."
49,This is a film that I've seen many times and have never been able to put down.
50,"Kermit the Frog is a horror film about an erotic amphibian who falls in love with another frog, but his attraction turns sour when he meets this strange creature."
51,"Bernardo Bertolucci's erotic, graphic and often controversial film The Last Emperor is one of those films that you just don""t know what to make out with."
52,"I've been watching this film for the last few days, and it has to be one of my all time favourite films."
53,"The film is a parody of the classic fairytale, Beauty and Beast.<n> For fans who like their films to be graphic or gory - I'm sorry but that doesn""t work for me either- this one has no such appeal"
54,"Werewolf in the Park is a horror film starring Michael Sheen, Catherine Zeta-Jones and Jason Schwartzman."
