,summary
0,Imagine you're at a restaurant and the waiter comes to your table.br /> 
1,"Ron Moore's Battlestar Galactica mini-series is no remake, it has its own set of rules."
2,"The film is a dismal indictment of the current state and attitude towards crime in America. Not Serious enough to justify its theme, 'Set It Off' exploits race-related material manipulation as well (tell that conventional Hollywood films have no racial discrimination on account)."
3,A remake of the classic 1950s film The Great  Robbery is a disaster from start to finish.
4,"The new film, 'The Bank-Whacker' is a disaster.<n> Is it any surprise that the movie has been called ""the worst ever""?"
5,"What do you think about the film, The Black Woman?...:) (Via Twitter):"
6,This is a stupid plot twist movie that I am not sure how to sum up in one sentence.
7,"The Man Archer is a film that has been described as ""horrifying"" and, while it may not be the most shocking horror movie of all time (it does have some disturbing scenes), there are still plenty more things you might want to consider before watching."
8,I'm not a big fan of video games but this movie is so stupid that it makes me want to throw up.
9,"This is the most awful thing I have ever seen in an animation.<n> I'm not a fan of 3D, but this film has to be one that you should watch if at all possible..."
10,"My son has seen this movie and he says it is a bit boring.<n>...well, I agree with him - but thinks that's not the point of all these movies!"
11,The film is a love story between two senior actors Amitabh Bachchan and Tabu who play the roles of father-daughter duo in London.
12,"Amitabh Bachchan, Tabu and R Balki are back on the big screen in a romantic comedy."
13,"I watched a movie called ""Piku"", and it was rather bad.br />"
14,"The film is a mess of over-acting, script and direction.br /> Excerpts"
15,"""save girl"" is a movie about two girls who fall in love with each other.br />"
16,"Hollywood Shuffle is the debut film of director Kevin Townsend, who was supposed to be making fun and promoting his comedy about a black man's attempts at becoming an actor in Los Angeles."
17,"It's been 60 years since the release of this film, but what do you think about it?"
18,"Falk's last film was a terrible farce, which I watched for the first time after seeing his latest role in The Man Who Would Be King."
19,"DR TARR's ToRTURE DUNGEON is a film by Italian director Dario Argento, starring the late actor Marcello Mastroianni."
20,This is a film that I have seen many times and it's always interesting to see how cheap exploitation can be.
21,"I've been to a few horror films over the years, and this is one of those that makes me want not only go see it again but also shut myself off from watching any more."
22,"I'm a film fan and have been watching horror films for years.br />I went to see this movie with my best friend who is also an aficionado of the genre, we both love it but he doesn’t think much about how bad these movies are so when his buddy tells him they should watch one together (he does) then all hell breaks loose!"
23,I'm not sure what this is but it looks like a remake of the Italian film The Great Train Robbery.
24,"This is a movie that will make you laugh out loud and cry in equal measure.<n> It's the story of an inmate who gets into trouble after he tries to kill his girlfriend but when she dies, it turns nasty as they both become victims!"
25,"I'm not a big fan of cheap crap, but this is one film that does have some good elements and it was made on about $180,000."
26,"I'm not a fan of the film ""Ones Nest"". Watch this wonderful portrayal in"
27,This is the worst film I have ever seen.<n> All copies of this movie should be reserved for a landfill only
28,This is a film that has been changed so many times it's almost impossible to know what the real title of this horror short was.
29,"Claude Brook's horror was a hit in England, but it wasn’t so popular here."
30,"I'm not a big fan of horror films, but this one was pretty bad.<n>"
31,"If you're into wrestling then this is a movie for your stomach.br /> But if it makes ya feel better than the average viewer,then that would be good news!"
32,"""Night Soup For The Soul"" was a cult classic we'd been wanting to see for years."
33,"Jennifer Love Hewitt and Anthony Hopkins' latest film, The Devil What? is a waste of money."
34,"Love is a fickle thing, so it's not surprising that this film has been released in the same year as ""Sex and The City""."
35,A lawyer is a movie that I've been wanting to see for quite some time.br />
36,"I'm not a big fan of films that are long, but have some potential for the future."
37,A suburban dad (Alec Baldwin) is forced to take on a new job when his son's girlfriend moves in with him.
38,"I've been having a lot of trouble deciphering what you are about to read. The weekend before, my wife and i went out for some pizza..."
39,"I'm not going to lie, this was the worst movie that ever happened in my life."
40,"The Walken-aways is out in cinemas on Friday, and it'll be a treat for fans of the original trilogy."
41,"A young woman is sent to live with a witch in the woods after her father dies.,"
42,"This is the worst horror film I have ever seen.<n> The Mummy: Tomb of Dracula was a disaster, but this time its worse than that!"
43,"I'm not a big fan of horror movies, but this one is so bad it makes me want to throw up!"
44,"""Trance"" is a film that, in terms of entertainment value and low-brow attempt at artistic expression (and I'm not talking about the horror films), fails to live up or exceed its own standards."
45,A witch is a mummified creature and it's not very good to watch.br />
46,This is a movie that I would have liked to see more of. The two battling witches seem like they are having some sort or another problem with each other and it's hard not be disappointed by the end result
47,"You may have heard that the film version of The Exorcism Of Emily Rose is a bit more advanced than its predecessor, but it's still not quite as bad."
48,"I'm not a big fan of horror films, but this film was so bad that when it started to get boring and uninteresting me went into shock."
49,"This Girl is a complete disaster.<n> I love Almereyda's Nadja, but this film has no chemistry between the two of them and it just doesn’t work for me either!"
50,"Don Nicholson, Christopher Walken andDir-Michael Almereyda in a supernatural thriller about an ancient druid who tries to capture the body of his granddaughter."
51,"I'm not sure what it is about a mystical film but let me tell you... It doesn""t get any better than this!"
52,"Isabella Rosselini, the Italian actress best known for her role in 'Mystic River' and TV series  la carte (or as she is more commonly called), has been interviewed by a number of different people about what it was like to be born with Down syndrome."
53,"I'm not a big fan of stew, and when you have to eat it all in one sitting then there is something wrong with the film."
54,"I am not a fan of fake dramatics, but this film was so bad that one reviewer called it ""a disaster"" and another said the movie is like an episode from The Godfather."
55,"A film about excess, a book and the author who wrote it all.bruck Living in an apartment"
56,"I'm a big Fast and Furious fan.br />I love cars, but this movie is just not for me!"
57,"I went to see Fast & Furious 6 on Friday night.<n> So, after this wonderful scene in the desert and seeing all of my friends go at it with me (I'm not saying they did), we walked out together as a group without any problems or drama whatsoever - just like most movies these days!"
58,"Daniel Sadek, the man behind ""Redline"" and most of this year's action movie The Mechanic has returned to his roots with a new car chase film called Red Line."
59,"Gran Turismo 5 is a movie that should never have been made.br /> I'm not sure how many of you watched this film, but here are some highlights:"
60,I'm not a big fan of the movies where you have to choose between two characters.
61,"Eddie Griffin's latest film, Bad Boys: The Movie is a bad movie.br />"
62,"I'm not a big fan of bad scripts, but this one was so poorly written and acted that it left me feeling like the only person who knew what they were doing."
63,"I'm not going to lie. When a girl is killed by her father in the middle of an eight mile race, she decides that ""the only way"" for him and his family (and everyone else)to survive will be through racing..."
64,"I've been watching Drive, and it is one of the best movies that you can watch this summer."
65,"I'm not a big fan of movies about cars, but this one is pretty bad."
66,"This weekend I went to see the latest movie in this series called Hot Pursuit.<n> Don't get me wrong, cars were nice and it was just plain boring..."
