,summary
0,"I have been a huge fan of the musical 1776 for quite some time.<n> The interesting thing is that you never got to see Zach's face in this production, he was always directing it from his own perspective and not on stage as we know him best..."
1,"Dance 10 Looks 3 is out in cinemas now.<n> Take upon Val, she's a great dancer but there are no brilliant songs or scenes to show it off..."
2,"Sir David Attenborough's film adaptation of the musical ""A Chorus Line"" is a disaster."
3,"The musical Kinky Boots, based on the 2003 British comedy film of that name and a stage adaptation by Terence Rattigan (who also wroteUnderneathTheBitumen.com), is back in London's West End - but it has no substance or purpose to say anything about its original story: A young man from an impoverished family who dreams up his own version ""of Jesus Christ."""
4,"I'm not a big fan of musicals.br />I have seen many, but few as bad or worse than this one!"
5,"I'm writing this letter to you from the stage of All- Line, a musical based on an original story byIrving Berlin."
6,"The film version of ""A Chorus Line"" is a disappointment, but it's not the worst mistake that anyone would make."
7,"A CHORUS LINE is a musical that's not meant to be seen.<n> The movie, however..."
8,"This is a guest column by the late, great actor and director Gene Kelly.br />"
9,"Michael Douglas and Debbie Reynolds star in this film adaptation of the stage musical, Les Miserables."
10,"I'm not a big fan of Michael Douglas, but this movie is so bad it makes me want to go back in time and see the original."
11,"The story of a group's attempt to audition for the lead role in an opera is one that should have been told on stage, not by film."
12,"I'm not sure what to make of this video.<n> and she did, in fact..."
13,"Stanwyck's first film was a comedy called ""The Bad News is I Can See You"", which he made with his wife and co-star Rose Leslie."
14,"You may have heard me say that I am disappointed in the new ""The Haunting"" remake, because it's a horror movie with visual effects...and not an art house film."
15,"Liam Neeson plays a suburban dad who hires an ex-girlfriend to move his family into the spooky house in ""The Haunting of Hill House."""
16,"I'm not a big fan of remakes, but this one in particular is pretty disrespectful."
17,"I've been a fan of the original film 'The Haunting"" for many years and when it was released in 1986 to mixed reviews, my fear level went up."
18,"Catherine Zeta-Jones plays Nell, a young woman who moves in with her parents (Richard Gere and Claire Bloom) after she realises that Theo is gay."
19,"This is a very bad film, I'm not saying it should be watched by children but if you want to see something that will make people scared then this could definitely help."
20,This is a stupid remake of the classic horror movie Mister Rogers' Neighborhood.br /> 
21,"The Haunting in Connecticut is a remake of the classic horror film, but it's not as good or bad."
22,Jean-Claude Van Damme's action movie The Incredible Hulk has been voted the best film of all time by moviegoers.
23,"The new film HAUNTING bugs, a horror about an insect that's been living in the sewers for centuries and is determined to kill it when its leader dies (the movie was shot on location), has had some problems with special effects."
24,The remake of Taking Nell is a disaster!... and it's not even the original.
