,summary
0,"I have been watching the show ""America's Got Talent"" since it started. People would see what viewers are seeing, you could only use this as a tool for cable channels to promote new shows and also help with ratings!"
1,I'm not a fan of the new series but i can understand why it was cancelled.
2,"Marc Bolan's Ringo Doors video is a treat for all the fans of bolans, especially those who have never seen it before."
3,"If you're a fan of rock 'n roll, or just want to find something different and unusual in your life that doesn?t involve the usual suspects- Ringo Starr (as well as T. Rex), John Bonham on drums; Marc Bolan from The Beatles - then this is foryou!"
4,"A home video of John Lennon and his wife, T. Secunda's Bolan house in the early 1960S which was filmed at a number Of The Beatles'secret studios.'"""
5,"T-Rex and Marc Bolan were two of the most popular bands in rock 'n' roll back then, so it was only a matter time before they released an album together."
6,"It's been 35 years since I first saw this film. br />Yes, the love and was directing about The Beatles - that is what i knew when we were making it in my garden..."
7,"Cantos are short, poetic songs that tell the story of how a young woman from an impoverished kingdom makes some promises to her brothers and then delivers them through their ambassador."
8,"This is a review of one my all-time favourite silent films, The Borrowers.<n>"
9,Gottfried Lang's Die Nibelungen Fritz Siegfried 2: The Battle of the Somme is a picture that should only be seen by those with an interest in film.
10,The Wrath of the Hunem Kritzel is a film that has some things in common with Death and Siegfried.
11,"Wagner's film Revenge of the Hunchback Of The West, a remake and expansion on Fritz Lang '13 classic Valhalla: Part I (also known as Siegfried), is being shown in Canada for only one night."
12,"The story of the three brothers who saved their town from a deadly attack by an angry King Hagen, and how they all ended up together in love - it's one that is full to its core."
13,"One of the most famous stories in German literature is about a Siegfried, who was once described as ""the greatest magician ever""."
14,"The film is a bit of an underdog story, but it has some great moments.<n> This was my first time seeing the movie and I found myself wanting to see more about Nibelungen's life after he dies in battle - so here are all our reviews!"
15,"In the 1970s, South Africa was one of only a handful in Europe to introduce free speech laws."
16,"I've been meaning to watch this film for a long time, but have had no luck."
17,"Billed as the story of a young black man who moves to South Africa and becomes involved in some pretty serious politics, this was an entertaining film that made for grim reading."
18,"The film version of the best-selling book by Michael Morpurgo, CRY FREEDOM: A White Man's Journey through South Africa - a Tale Of Love and Race (Penguin) is an excellent primer for those wanting to know more about this era in African history."
19,"""Cry Apart"" is a film that will make you cry, and it's about the fight against apartheid in South Africa."
20,"The Equalizer is a film that could have been better, but it's still an entertaining watch."
21,"The film is a sad indictment of the ANC's economic strategy.<n> ""The National Party"" was never an option, but it did have to be part and parcel with some other options as well - suchas leaving South Africa in charge at international conferences or taking over from Washington DC"
