,summary
0,"I have to say that this is one of the best short movies ever made.<n> If you are looking for a movie, see these"
1,"After watching the film ""The Big Bang Theory"", I've been wondering what happened to Dean Cain and his brother Camille."
2,"The relationship between Bob and Camilla is a complex one, but the chemistry they build over time makes it easy to understand."
3,"Rob Stewart has been in a number of movies over the years but one that stands out to me is his role as Jane Austen's lover, Lord Byron."
4,"Mission Impossible: Ghost Protocol is in cinemas now.<n> I think the romance was ditched if it wasn't, but how could that be?"
5,"Kevin Bacon's latest film, The Open Road is out now in the US and I have to say it has me hooked."
6,"In this week's Q&A, actor and director David Lynch talks about his new film The Man with the Golden Gun."
7,"I'm not a big fan of ""action movies"" but they are always entertaining and have some great plotlines."
8,The 6 Degrees of Separation is a film that will make you want to run away and scream at the top your lungs.
9,"The film is a great example of how to make good movies.<n> ""The Man Who Would Be King"""
10,A movie about a man who has an aversion to eating food contaminated with bacteria.br />
11,"In the wake of ""Citizen Kane"" and its sequel, a new film called Bug is being released in which an airline passenger (John Carroll Lynch) finds himself caught up by unexpected delays caused when his girlfriend's boyfriend takes her flight."
12,"The film is about a butterfly, who has been given the chance to change its fate and become one of two creatures that can stop Chaos from taking over."
13,I've been to the Toronto Film Festival a few times and this was my first time seeing The Big Sick.
14,"Bug is a film that will leave you wanting more.<n> and it works, because the magic of this movie comes from its script..."
15,Magnolia is a movie about the little things in life that you don't know until they happen toyou.
16,I've been watching this movie for the last few days and it has made me cry a lot.
17,"Alison Lohman is a wonderful actress and the story of Diana Lorden's battle with anorexia, which she wrote while studying at university in Finland was very moving."
18,This is a movie I've been watching for the last few weeks and it was pretty accurate about eating disorder.
19,I've been to see the film 7th heaven and it was a great experience.br />
20,The Truth about Bulimia Mare Shea is a film that should be seen by all.'
21,This is the movie that I've been looking forward to most since it came out.<n>
22,I'm not a big fan of films about eating disorders but this one is my favourite because it shows the lives and experiences that people with an Eating disorder go through.
23,A documentary about a young man with Duchenne's Muscular Dystrophy who sets out to see the Pacific Ocean in his wheelchair.
24,"This is a letter from one of my friends who has muscular dystrophy.<n> and sometimes we should give them help, they did it for the money Darius was asked to have when he died"
25,"A young man with a debilitating muscle wasting disease, Duchenne muscular dystrophy (DMD), has his dream come true after some friends raised money and took him to see the ocean."
26,I am writing to you because a movie has been playing all over the world and is going viral.
27,"Darius, the young man with Duchenne muscular dystrophy has been making a film about his life since he was five years old."
28,The trailer for Ice Age: Dawn of the Planet OfThe Apes has been released and it's pretty damn good.
29,I'm writing this because my mom went to see the movie 'The Conjuring 2.
30,"I've been to the cinema with my two little ones and they loved it.<n> The movie itself was ok for me, but when Scratch came on- he made them laugh so hard!"
31,"Big Guy, the mammoth and his friends are back in a new adventure with 14 year old mischief-maker T."
32,This is a story that will make you want to run away and hide under your desk....
33,"The film was made by the Japanese animation studio, Tsingtao Animation.<n> An interesting animated about what happened when a group of tigers saved an attack baby from being killed in Antarctica during ice age"
34,"I'm not a big fan of sloths, but this film was so good that it made me want to go and see one more time."
35,"I've been looking forward to this movie for a long time.br /> Briefly it is, the story of three young men who are sent on an adventure through space and into outer-space by their father - they come across some strange creatures along with them that make life difficult at first but eventually become friends in order not only survive (but also learn how best)"
36,"Scrat is a big, fat teddy bear who has to save the day when his owner dies."
37,"I'm not sure if this is the best thing to happen in animation since ""Madagascar"", but it has a lot going for It."
38,"I have seen this movie twice, and both times it was pretty good. Like me said ""Toy Story 2"" or ""...Shrek"" higher"
39,"This is a movie that will make you laugh out loud, cry at the absurdity and have your blood boil."
40,The Secret Life of Pets is a Disney animation that tells the story about an orphan who must save his baby brother from being taken over by one or more enemies.
41,"The opening sequence of the new Disney Pixar animation, Finding Dory is one that will have you falling in love with it."
42,"In our series of letters from British journalists, film-maker and columnist David Shrigley looks back at some his favourite cartoons."
43,The X-Files is one of those shows that you just have to watch.br />
44,This week on The Exes we're looking at the 'underestimated episode.’ So what do you think about it?
45,"After watching Born Again, I'm going to say what is good and bad about the episode."
46,"Zombi 3 is a sequel to the 2010 film, which was directed by Antonio Fulci and starred Bruno Mars."
47,ZOMBI 3 is one of the best action movies I've seen this year. Definitely a must see zombie ninjas movie as well
48,"From Dawn to the Dead is an Italian zombie film and Fulci only directed just minutes of it handing over (Rats, Night Of Terror) Mattei."
49,"I'm not sure if this is the best film of Fulci, but it does have some good moments."
50,"Zombi 3 is the third film in a series that has spawned four spin-off films, two of which have been released since Return."
51,"I've been to a few Italian cinemas recently and one of the movies that caught my eye was ""ZOMBIE OF HORROR"" by Bruno Fulcio."
52,Zombi 4 is out in Italy on the 18th of March. because its sequel to ZombiesZimba 2 and directed by Lucio Fulci (from Night Of The zombies)
53,"""Zombi"" is a strange word, but it's the name of one or more zombie films."
54,"Shaun of the Dead is one hellof a movie.br />It's not just that it has some great acting, but also because there are so many layers to this story..."
55,This week I'm recommending a movie that you should see if at all possible.br />
