,summary
0,"I'm not a big fan of CGI, but this was the only film that really made me want to go see it."
1,"The Martian is a pretty good movie, but it's not as bad or exciting than the previous two."
2,"The controversial Omega Code televangelist, TBN's Juanita Akpan has said she will not attend the Hollywood premiere of her new movie because it is ""too preachy""."
3,The film is about a doctor who tries to help his patients with Alzheimer's disease by giving them medication.
4,"""China Cry"" is a disaster.br />I'm not sure if you know this, but I am an atheist and have seen many films that are worse than the one in which they were made..."
5,"I'm not sure what to make of this film about the British band Viola Beach, whose debut album was released on a record label that doesn""t even exist."
6,"Snake The Plane is a film that's been described as ""the most over the top action horror movie of all time""."
7,I'm not a fan of this movie.<n> The Amazing World Of Gumball - Review
8,Snakes on the Wall is a film that should have been made more than once.<n> The
9,"In our series of letters from the news, journalist and writer stephen curry looks at why some movies are so bad."
10,"I'm not a fan of this movie.br />I think it should be at least 2 or 3 on the top 100 list, but its just too bad that so many fricken fans have given It 10 because they dont want to see another Chuck Norris film and are afraid their sons will die in one way OR other from being bitten by snakes while watching them do battle with sharks..."
11,"I went to see ""Casablanca"" last night and it was a pretty good experience.br />"
12,"Snakes on a Plane is the worst movie ever made. It looks like they've taken all of their money from X and Die Hard, put it into this stupid spoofSnakeSOnaPlane..."
13,I have seen this movie twice and it is the worst film that has ever been shown to me.
14,"The film-makers are not the critics.br /> David Ellis, Eli Roth and their production company have been criticised for turning a horror into an interactive experience that allows fans to interact with them on screen - but what is it about this approach?"
15,"So here's what I think about the film, The Go-Between.com has been told me to do..."
16,"I went to see the movie ""Planes, Trains and AutomobileS"" on Friday night."
17,"""I'm not a fan of this movie. I suppose it is an excuse to have some fun with snakes."""
18,"I'm not a big fan of horror movies, but this one is so bad it makes me want to throw out my soul."
19,"Is it a good movie or is the title just wrong?.,I'm not sure what you mean by that..."
20,"I'm not a big fan of this movie.<n> The Great Wall Of China is one the worst movies that has ever been released in my lifetime, and it was probably worse than any other film on release last year or even two years ago either..."
21,"I'm not a big fan of snakes, but this movie was so bad that it made me want to go and kill one myself."
22,A group of stranded astronauts are forced to take on a new mission when their plane is attacked by snakes.
23,"The film is a disaster from start to finish.br />I'm not sure if this was the first time I had seen an action movie with CGI, but it did seem like something out of some kind or another..."
24,The Independent Film Classification Board has given the comedy-drama 'The Big Sick' a G for language and violence.
25,"I'm a big fan of the movie bloomed through mouth, but it wasn""t good enough for me."
26,"Director Jeff Cort's latest, Bud & Harold and the Harpoon Man (out in US on Friday), is a hoot to watch - an ode of sorts not only for its star Robert Altman but also his producer wife Shelley Adler."
27,The film industry was in a state of flux at the time this article appeared.br />
28,"I'm not a fan of the films by Portray and Johnson, but they are so bad that it makes me want to throw up."
29,"The last episode of Galactica ended with a lot more questions than answers.br /> So here's my top 5 reasons why the series just doesn t have any good reason to explain anything at all - apart from what happened in flashbacks and how AdamA got back on his spaceship after he was killed by Cylon, which is not really much help because it only involves one character (and they don ""accidentally"" kill him) but still...)."
30,I loved the first two films....I'm not sure why but it was so much fun to watch them all!
31,Absurd is the final episode of BBC Two's six-part drama series about a young man who becomes obsessed with making his own television.
32,"I'm a big fan of the show Cylon.br />I watched it for three years and never got any satisfaction from its story or direction, which was always disappointing because they were so good at telling us what happened on Earth in general (and not just how humans ended up there)."
33,"The final episode of Battlestar Galactica is out today, and I'm going to give you my top five reasons why it was so good."
34,"I watched the final episode of Battlestar Galactica last night. When it didn't really work out, i started watching again and this time was no different..."
35,I'm so disappointed in the ending.I feel like they should have given me a better explanation of what happened instead...
36,You know the one where you're supposed to be satisfied with what your body can do foryou?
37,"A young woman is forced to leave her home in rural America after a series of tragedies, including the death and destruction from Hurricane Katrina."
38,"I'm not a big fan of the Unwashed Class, but this movie has got me hooked."
39,I have seen this movie many times and it has always made me feel uneasy about working class people.
40,"The reviews are in, and one of the reviewers has a very negative view on it.<n>"
41,I'm a mum of two and this was the first time in my life that i watched anything like it.
42,What do you think about the film The Three-Headed rabbit?<n> I had nightmares for weeks and months on end seeing this movie.
43,"Watership Down is a classic animated film from the 1980s, starring John Hurt as an orphan who befriend'd warren of rabbits."
44,Why do so many people on this site have not read the book or seen it?br />
45,"I'm not sure what happened to the ""bad"" rabbit, but it was a bit of an embarrassment when my son came home from school with this awful video."
46,"Starving Class is a film that should have been made more often.br />It's not bad, but it doesn t deserve to be shown on TV or in cinemas because of the way its script was written and acted..."
47,"I'm not a big fan of ""American Pie"" or the original trilogy, but this is so bad it makes me want to go back and watch them all again."
48,"This week's film reviews are from the staff of Newsround, with a few thoughts on some movies that I did not see."
49,"This is a film I'm not sure that any of you will enjoy. very bad films but we got to admit, this one has some redeeming qualities!"
50,This is the worst movie I have ever seen.<n> ButI forgot there are one reason to watch this film - Claudia Udy showing her off!
51,"This is a film that should be seen by all children.br />I'm not sure what the point of this movie was, but it seems to me there are some things you can do with your time on Earth and I hope people enjoy them!"
52,"I'm not a fan ofbinder, but this is one film that makes me want to give him another chance."
53,I have to say that this is one of the most boring movies ever made by a German director.
54,"This is a movie that's supposed to be funny but it just doesn""t work."
55,"Elvira is a woman who has to endure the ordeal of being slaughtered by her ex-husband and prostitute in order for him, as wellas his daughter (played with utter lackadaisical abandon)to leave their lives."
56,"I'm not a fan of the Tremor series, but this film was so bad it made me want to throw up."
57,Burt Gross returns as Hiram Gummer in the fourth and final movie of Tremors.br />
58,"""Tremorsor"" is a horror film by Uruguayan director Luis Alberto Gross, who also wrote the screenplay."
59,"The fourth and final entry in the Tremors series, a horror set on New Orleans' bayou that was originally released as an unrated short film by director John Carpenter."
60,"Watch the latest trailer for The Fault in Our Stars, starring Shailene Woodley and Ansel Elgort."
61,"Why did they make another Tremor movie?<n> As an aside, i'm not a big fan of the original tremors movies either."
62,"The third and final film in the series about a group of survivors who are forced to live under an earthquake-hit building after it is damaged, opens this week."
63,"The fourth and final film in the Tremors series is out this weekend, but it'll be streamed live online from midnight on Friday."
64,"This is a movie that should have been made more years ago.<n> If American Psycho would be one of those movies, I think it might make the cut for prime time television!"
65,"The latest film in the Hunger Games series is a disaster, but it's not as bad or even worse than its predecessor."
66,"I'm not a big fan of the BAFTAs but this is an exception., it was well deserved and he has done us proud..."
67,"Chris Morris is one of those directors who, when it comes to making films has a knack for turning the most mundane and everyday events into something rather bizarre."
68,The Brief Encounter is a film that should not be seen by anyone under the age of 25.
69,"The film version of the play is a mess, and it's hard to see how this could have been made into an enjoyable movie."
70,"The BBC has released new footage of the Colonel's School, a drama set in an English boarding school during World War Two."
71,"The film is marketed as an anti-rape statement, but the material in it - including a graphic scene of several rapes being committed by one man against another woman and their children (all captured on camera) are so Graphic that you'd be hard pressed to find anything similar anywhere else."
72,"The Spitting Image is a film from the horror director Gator Baity, who was known for films like I On You are A B-movie and All About My Mother."
73,"A young woman is taken to a party by three men who rape her, but when she tries and fails at persuasion they decide not only that the victim should be raped -but also how."
74,"'The Omen' is a horror film that has the unfortunate misfortune to be released in an era when many of us are still trying not only with our own imaginations but also, through social media and other means (eg blogs),to make money from what we post on-the internet."
75,"As part of our series on the best horror films, we've asked some people to give their top picks for what they think is one or two bad movies."
76,This is the most bizarre film I have ever seen.<n> The invisible ghosties running around...
77,"Doug McClure's latest film, Albert and the Crab House (1944), is a rather dull affair."
78,The house where the infamous suicide of a Japanese samurai (played by Yul Brynner) took place is back in full swing with this new release from director Jean-Pierre Jeunet.
79,"I'm not a big fan of remakes, especially when they don t do justice to the original."
80,"Susan George is a pretty good actress, but this film has so many problems it's hard to know what you are getting into."
