,summary
0,The new Star Wars film is out this weekend and we've been asking you what your favourite part about it was.
1,I'm so happy i finally got to watch the last episode of dark angel!<n>...
2,"Dark Angel is a show that takes the anti-discrimination message to an extreme, and makes it fun while doing so."
3,"I'm a huge fan of DA and would like to see it return.<n> The story line, although requiring A LOT more improvements was pretty well focused on the freak side..."
4,"I'm not a huge fan of the show, but it was good enough to keep me hooked for two seasons."
5,"The cast is excellent, the writing good and it's a shame that this series has to end after its second season."
6,"What is your favourite Sci-fi show?<n> I bought Dark Angel episodes 1 & 2 two weeks ago, after catching a couple of season1329 seasons on Channel 5."
7,"What do you think about Dark Angel?<n>br />I'm a big fan of the X-Men, so I was really excited to see this series."
8,"Dark Angel is a new drama on Syfy about Max, an elite private investigator who has the ability to catch criminals in their tracks."
9,"I'm a huge fan of the series ""Battlestar Galactica"" and have been watching it since day one."
10,"Dark Angel is a great series, but underrated.<n> The BBC's dark comedy-drama about the lives of ordinary people in postapocalyptic Seattle has been given an eight week extension to air on Fox - and it will be broadcast live from London next month"
11,"I'm not sure if it is because i am a Chinese student or something but the first season of Glee was so good that when we were in China, my friend and colleague would buy us copies on DVD."
12,"I'm a huge fan of the show The X-Men, and this video is one that will make me want to watch it more."
13,"I'm a huge fan of the TV show 'The Jessica Alba Show.’ It is very intriguing and has some great scenes, as well..."
14,"The cast of the new show called Extant is amazing.<n> all this are best shows ever made by people who know what they're doing,"
15,"Director Michael J Fox has again turned to science fiction for his latest film, a story about two teenagers who are sent on an interplanetary mission by their guardian angel."
16,I'm not a big fan of romantic comedies but this is one that will make you want to cry.
17,"Dark Angel is a must-see.<n>...and I'm not talking about the first two episodes, but all of it!"
18,I've been wanting to see a sci-fi film for some time now and this is the first one that came my way.
19,I'm a big fan of Made in Chelsea and this show is just not good enough.
20,Jessica Simpson is the most beautiful woman in America and she's not afraid to show it.
21,Dark Angel is a post-apocalyptic action drama that's all about hot chicks and smoking.
22,A film about women in the Iranian divorce system has been released and it's a treat for all those who love watching men behave badly.
23,"A remarkable documentary about the landmark achievements of a women's rights group in Cameroon, which has been fighting for legal reform to protect its members from domestic violence."
24,Yesterday I went to see the film Sisters in Law: The Story of a Muslim Divorce Court.
25,The women of Cameroun are making a difference in their country by bringing cases against the men who have committed atrocities.
26,Kim Long Sisters in law is a documentary about the life of two sisters who were separated when they went to live with their father after his death.
27,A fascinating documentary about female lawyers in Cameroon who are trying to protect women from the violence of their husbands.
28,"This is a movie I really enjoyed, but it was only after seeing the Oscar speeches thatI decided to check out this film."
29,"I've been a big fan of this movie since it first came out in the 1970s, and have seen many more over time."
30,"The film ""Watch on the Rhine"" is a classic example of how an American play can have such powerful and lasting impact."
31,"As the 70th anniversary of Humphrey Bogart's death approaches, I thought it might be a good time to look back at his Best Actor Oscar nomination for ""Watch On The Rhineblanca""."
32,"I remember watching this movie when i was a little girl and it made me cry.'Cause my mum said that the children were too scared to go out alone, so they hid from their parents..."
33,"Paul Lukas, Bette Davis and Humphrey Bogart star in ""Watch the Rhine,"" a 1943 film based on an anti-Fascist play by Lillian Hellman."
34,"The Oscar for Best Actor in a Supporting Role goes to Lukas Fosse who played the title role of Watch OnThe Rhine, one year after he won an award as best supporting actor at this very ceremony."
35,Paul Lukas and Bette Davis in a wartime thriller about an American family who flee Nazi Germany.
