,summary
0,"I'm not a big fan of horror films, but this one is pretty bad.br />"
1,"The Convent Apart is a remake of the 1980 horror film Towards Demons, starring Joanna Canton and Adrienne Barbeau."
2,"I'm not a horror fan.br />I don""t care what you think, as long it doesn ""get me killed""."
3,"I'm not a big fan of the ""face"" prosthetics in horror films, so when this one started to look like it was going for some sortof prosthetic make-over with all those fake nuns and priests on top that looked more than serviceable - well..."
4,The film is a horror about an accident in which two people are killed and one of them has to fight for his life.
5,"I'm not a big fan of horror movies, but this one is pretty bad.<n>"
6,I'm not a big fan of horror movies but this one is pretty bad.<n>
7,"I've been to a few horror movies over the years, and this is one of my least favourite."
8,The Reelwolf is a horror movie with an emphasis on the human side of things.br />
9,"Werewolf in the Park is a terrible movie.<n> The werewolf has no fangs, he's just like any other creature you would see on TV or film..."
10,"This is a horror movie with two leads. Except for the better average acting skills of both lead, this film isn't really bad at all..."
11,"Will Pascoe's documentary ""Noam Chomsky: The Power of Reason"" is a rare and compelling portrait, shot in full-length on camera by amateur filmmakers."
12,Watching Noam Chomsky speaking is a film that should not be watched by anyone who has ever heard him speak.
13,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at one man's bizarre journey through the world."
14,The film version of the classic operetta Rudolf Nureyev and his Empress is out now in cinemas.
15,"In our series of letters from African-American journalists, novelist and writer Paula Faris considers the work by British actor Omar Sharif."
16,"I'm not sure what Diane Silver was thinking when she made this movie, but it obviously had nothing to do with Richard Wrights novel Born Bigger."
17,"The Trouble with the Curve is a movie that should have been made years ago. (Sorry, I'm late)"
18,"I'm not a big fan of this film.br />I think it is weak, but that doesn t mean you shouldn ""hate"" the movie..."
19,"I am a film fan and have seen many films over the years.br />I'm not afraid of violence, but it is something that has been shown in some movies to me before so maybe this will help my decision-making process when deciding whether or how muchviolence should be used on screen?"
20,"Kim Ki Duk's latest film, ""Fishing for Fish"" (translation by the BBC), is a fishing drama set in South Korea where fishermen compete to win an annual prize worth millions of dollars."
21,I've been to a few horror films over the years and this is one of my all-time favourites.
22,"Director Michael Mann has said his new film, The Pianist is ""the worst movie ever made"" and that he's a victim of the disability discrimination suffered by many people."
23,White Men Can't Jump is a film that should have been better than it was.br />
24,Jump is a comedy about two misfit high school basketball players who decide to take on the world's most elite athletes in an attempt at glory.
25,"Wesley Snipes's latest film, The Whitest Gentile is a comedy about an underdog basketball player who takes on the best in his league."
26,"John Spooks is a British spy drama set in the 1980'br /> 1990"""
27,"This movie was a bit lame. If you want to see someone snorting white powder, then this is the film foryou!"
