,summary
0,"I'm not a big fan of religious films, but this one is definitely on the list."
1,"A film about an atheist news anchor who is hired by a TV network to report on the death of his father, has been given four out-of five stars from critics."
2,"This is one of the best movies I've ever seen.<n> It can be because 101 time, since it was only about 100 minutes long!"
3,"I've seen a few films where God is portrayed as being stupid and crude, but never one that shows him to be anything other than the wisecracking man we all know."
4,"Bruce Almighty is a comedy about God and the ordinary man.<n> The cast are good, Jim Carrey always has his moments but Morgan Freeman's portrayal ofGod also makes for some funny scenes too!"
5,"Jim Carrey and Morgan Freeman star in the film ""Bruce Almighty"", a comedy about God's ability to save lives."
6,Jim Carrey plays a man who is sent to hell by God in this comedy that also starsJim Morgan andDiane Keaton.
7,Jim Carrey plays a man who has to take on his own dog after he is diagnosed with terminal cancer.
8,Jim Carrey plays a TV news anchor who is fired after he makes an inappropriate remark on air to his producer (Steve Carell).
9,"I'm a big fan of comedies and this one was no exception.br />I think it is an entertaining film that will have you laughing out loud at the end, but also giving us some messages about what we can take away from summer vacation in general"
10,I'm not a big fan of romantic comedies but this one was good enough to see with the wife.
11,A comedy about a reporter who gets the power of God and wrecks havoc in New York.)
12,I've been watching this movie for a while now and it has made me laugh out loud.
13,"A suburban father (Jim Carrey) tries to help his son's girlfriend get a job in New York City, but when he gets caught up with the wrong people and ends-up being sent back home for questioning - it all goes south."
14,"Jim Carrey's new film, Bruce Almighty,'' will be the most anticipated movie of all time!"
15,"Jim Carrey's latest movie Bruce Almighty has been given a lukewarm review by the film critic for The Daily Show, Steve Correl."
16,"I'm not a big fan of the new movie, The Big Lebowski.br />"
17,"The Golden Globe Awards were a great night for comedy, and the film I'm talking about was Gods Not Dead - it is one of those films that you just want to be in with all your friends."
18,"Jim Carrey's latest movie, The Big Lebowski is a great film.<n> I give it 10/10"
19,"Jim Carrey is back in the comedy sequel to his hit film, The Big Lebowski...."
20,"T.V is a comedy starring Jim Carrey and Jennifer Annisten, it's about two best friends who are forced to work together after one of them gets fired from his job as an assistant coach at the local high school where he works in accounting!"
21,"""Bruce Almighty"" is a movie that has changed my life.<n> As the film unfolds, who learns what real change actually takes to occur in our lives?"
22,"A psychiatrist who agrees to wipe a gambler's slate in order for him and his new book, 'Driven: The True Story of an American Game Card Player,'' is the latest film from David Mamet."
23,"A psychiatrist is forced to confront a gambler in the backroom of her low-life clinic, House Of Games."
24,"David Mamet's House of Games is a fine short story, but it suffers from the same problem as many good movies - its themes are too easy to ignore."
25,"If your idea of a thriller is an elaborate con, then ""House Of Games"" may not be the movie for you."
26,"The Mantegna is a film about an aspiring writer (Lindsay Lindsay) who moves to New York City and meets the man she calls ""The Grifters"", or as he's known in his later years - con-man John Cusack."
27,I loved the way this film was shot and how it felt like you were eavesdropping on their conversations.
28,'House of Games' is a comedy about the art and science behind con-men.br />
29,"It's a film that has been described as ""the greatest psychological thriller ever made"" and it is certainly one of the best."
30,"I've seen this film many times, and it is one of the best examples in my opinion."
31,"The film is a study in contrasts and the director, David Mamet has made an astute observation about how rape affects both men as well women."
32,"In our series of letters from film fans, writer and novelist Assel van der Werff reflects on his favourite David Mamet films."
33,"A grifter (Jared Leto) is a hunter who falls for an attractive young woman, played by Emily Blunt."
34,David Mamet's House of Games is a film that comes off as one to watch with great surprise and flair.
35,This is the moment when a patient gets into an unmarked car and drives away with her gun in hand.
36,"David Mamet's latest film, ""Glengarry Glen Ross"" is a very enjoyable and thought-provoking look at the psychology of relationships."
37,"A classic of the 1980s, it'll be remembered for its understated absurdity and cleverness."
38,This is a movie that will make you want to run away and hide in your closet!<n>
39,"David Mamet's latest is a quiet, satisfying drama about confidence and the human condition."
40,David Mamet is one of those film directors who can make you laugh while also making your stomach rumble.
41,A psychological thriller about a man who is caught up in an obsession with gambling.br />
